powerplay_score,powerplay_wickets,final_score
71,2,188
34,2,145
80,2,209
40,3,152
43,1,158
22,3,132
41,1,167
72,1,193
21,4,104
49,1,173
57,0,198
21,3,129
83,0,227
79,3,195
40,1,166
52,3,154
77,2,214
41,2,169
68,4,176
78,1,211
61,4,161
79,0,223
34,2,141
81,1,195
81,2,184
66,1,188
81,3,199
70,3,186
74,4,177
83,1,217
22,2,129
70,2,184
26,1,144
40,1,169
58,1,177
37,2,143
23,2,124
79,2,187
33,0,157
28,0,161
72,0,211
21,4,113
79,0,220
63,0,195
27,1,130
66,3,185
54,4,164
55,3,159
69,2,189
23,2,131
21,0,149
25,4,133
73,3,197
23,2,130
73,3,192
82,2,217
37,2,154
63,4,167
53,3,166
81,2,200
33,2,141
67,0,195
34,2,149
81,0,220
59,2,171
72,4,177
43,2,162
45,2,176
79,1,219
60,0,177
48,2,166
34,1,166
64,0,189
84,1,221
28,3,129
20,2,138
27,0,157
82,2,199
30,2,140
27,2,137
54,2,171
54,1,188
52,2,162
24,2,142
60,3,169
47,2,165
26,1,145
31,1,151
53,2,170
52,3,173
67,2,194
42,2,154
81,2,218
56,2,176
63,1,194
54,3,157
84,1,213
66,2,181
22,4,116
20,0,150
24,1,145
33,1,166
46,4,138
28,0,156
34,0,152
61,0,189
70,0,218
82,0,219
71,2,186
23,2,116
42,1,158
34,1,153
62,0,187
48,1,170
55,2,183
32,2,138
51,0,176
78,2,193
47,1,162
85,3,207
61,2,181
64,2,192
81,1,229
76,3,176
25,0,154
47,0,170
47,1,177
63,0,197
49,4,149
81,3,187
81,1,210
20,2,130
46,4,156
81,3,191
22,2,127
46,3,161
28,4,116
81,2,214
56,0,190
70,1,202
63,3,178
43,1,161
78,3,197
51,0,178
71,0,205
81,1,218
77,0,219
71,4,176
31,3,125
58,3,160
21,2,132
22,1,145
75,2,189
78,2,195
21,2,131
21,1,139
73,2,182
20,2,130
38,4,131
21,3,135
72,2,196
63,2,186
51,2,171
51,0,174
74,3,204
75,3,177
36,2,155
57,1,188
43,1,162
30,2,147
35,0,161
78,3,188
22,0,151
39,1,153
78,4,184
55,2,168
38,1,157
38,1,163
39,0,164
71,2,191
52,0,181
59,2,189
58,4,163
20,0,147
30,3,139
76,4,178
69,0,213
42,3,151
50,2,154
61,3,161
26,2,132
35,2,137
79,2,201
21,3,114
20,2,128
67,2,199
31,3,134
56,1,180
51,1,179
28,1,141
38,1,166
67,1,200
22,4,116
39,0,170
43,2,174
73,1,211
52,3,179
43,4,146
55,2,161
57,3,165
44,0,161
37,3,146
85,1,224
73,3,180
54,0,182
80,2,205
60,3,161
52,1,167
52,1,187
33,0,162
40,1,158
67,2,174
39,0,176
27,1,140
26,0,167
36,3,148
52,0,179
67,1,190
78,0,231
41,1,163
49,3,153
57,1,183
70,1,195
73,3,189
27,3,129
46,1,177
46,3,150
40,4,131
49,1,170
47,3,152
83,2,207
80,2,209
67,0,208
38,0,177
23,3,118
54,4,159
83,2,214
68,1,192
36,2,147
63,2,169
49,1,181
65,0,200
25,3,134
56,1,184
43,3,148
65,1,181
72,0,199
79,1,190
82,2,202
51,4,170
52,0,175
37,3,121
44,2,167
73,3,206
77,1,211
65,3,180
43,3,147
51,1,161
66,0,191
42,3,146
85,4,190
46,0,177
21,2,137
36,3,136
52,3,168
28,4,118
62,3,182
67,1,196
58,1,181
61,1,189
45,2,158
69,2,191
44,1,173
43,3,149
32,2,141
79,2,194
26,2,141
76,2,202
55,1,171
64,1,199
39,0,159
84,1,225
27,2,143
35,2,151
33,0,158
34,3,143
85,1,227
51,3,164
82,4,185
70,1,202
44,2,168
77,0,234
82,2,205
81,2,212
41,1,172
77,2,194
77,1,223
68,1,188
71,2,199
61,1,191
34,2,147
73,1,224
79,4,184
27,0,151
72,2,205
79,2,209
24,1,152
25,4,120
66,2,189
74,2,212
59,3,163
71,4,176
35,3,146
32,2,142
49,2,161
38,0,172
36,0,176
82,2,205
38,0,166
77,2,195
74,1,202
81,1,222
42,3,149
28,4,117
31,0,161
20,2,137
77,3,188
20,0,134
53,3,180
67,1,185
20,1,134
35,4,134
80,1,210
83,2,207
82,3,203
41,0,152
45,2,150
35,4,132
70,0,204
76,3,192
48,2,166
66,2,170
81,2,215
35,1,152
67,4,165
58,4,162
52,2,170
42,3,158
29,2,142
53,2,180
71,2,185
29,2,141
38,2,143
77,3,193
20,2,128
23,0,147
35,1,155
43,1,172
21,2,117
51,2,161
43,2,157
31,2,133
69,2,191
54,1,179
52,2,158
52,2,157
80,3,175
70,1,190
62,0,198
31,1,152
84,0,227
52,2,163
59,1,186
62,2,185
63,2,173
48,0,181
32,1,157
31,1,147
65,1,202
21,1,135
54,3,157
27,1,150
45,4,161
53,1,179
26,3,134
77,2,196
48,2,154
55,3,166
40,2,157
55,2,170
29,2,145
43,2,153
83,0,217
68,1,205
55,2,181
43,2,153
42,3,162
81,2,203
56,4,159
31,1,150
74,1,209
32,1,154
42,2,159
49,3,149
36,1,143
81,3,206
32,1,148
78,2,201
38,2,154
68,1,210
31,2,144
80,1,209
38,0,163
28,1,147
47,0,171
71,1,201
35,2,147
31,2,156
44,2,158
71,0,193
72,2,215
42,1,172
35,1,172
76,3,182
58,0,191
72,2,199
61,2,185
77,1,211
58,1,167
33,1,140
24,3,138
54,1,193
37,1,157
28,1,158
77,2,192
36,0,159
26,1,136
65,2,178
32,4,134
59,1,179
61,1,206
28,1,151
69,2,199
46,1,173
85,2,220
24,3,119
48,2,176
56,1,183
57,3,177
27,2,126
84,2,210
36,0,166
64,4,163
23,0,151
55,1,193
50,0,177
38,2,159
80,1,203
73,1,220
58,0,199
38,0,181
58,2,182
64,2,187
32,1,158
77,2,199
39,2,140
80,0,224
58,1,178
20,4,104
22,2,137
81,1,211
82,2,215
44,1,161
75,2,194
52,0,194
57,0,193
25,0,139
77,4,186
63,2,195
64,1,188
51,1,181
64,2,177
80,1,211
66,1,203
40,4,140
55,1,191
38,2,155
39,4,154
76,1,194
37,0,165
66,1,186
68,3,173
33,3,129
34,3,140
50,0,184
20,3,124
73,3,178
22,2,129
35,4,124
76,3,198
31,2,136
35,2,146
43,1,170
47,1,166
27,2,143
55,1,194
27,3,131
77,4,191
79,3,178
69,0,203
47,1,172
60,0,187
83,2,209
46,3,162
82,3,183
36,1,147
52,3,162
48,3,160
32,1,158
65,3,178
54,1,183
25,1,150
66,2,183
44,1,162
85,2,209
29,2,142
75,2,192
49,1,170
24,2,137
52,2,170
84,2,208
37,1,144
68,0,205
30,2,134
45,1,176
82,2,204
78,3,186
46,2,161
68,2,199
52,4,158
20,3,123
40,3,135
74,3,201
25,0,146
24,0,157
22,2,129
72,1,209
42,2,167
72,1,207
56,2,180
36,2,148
20,2,126
70,2,193
64,3,173
23,1,160
81,3,189
84,0,233
51,4,156
53,2,172
58,1,196
45,1,171
53,2,165
73,1,206
22,1,138
69,2,194
31,2,149
84,2,202
73,3,197
24,2,132
76,2,203
36,0,170
66,2,189
42,1,164
33,4,125
85,3,200
70,2,204
57,0,184
83,3,194
57,3,161
69,1,199
49,1,161
70,3,173
82,1,212
71,3,174
57,1,174
49,0,171
70,3,177
24,1,148
48,2,172
23,0,164
29,0,171
75,2,204
36,2,157
36,2,150
53,3,166
25,2,151
72,1,205
85,1,227
62,3,166
42,3,143
74,2,199
35,1,157
27,1,141
23,2,152
23,3,126
75,2,194
44,3,152
46,3,154
51,0,185
69,1,186
80,1,222
70,1,210
38,3,155
40,2,157
24,2,139
61,1,181
80,1,219
41,1,165
40,1,158
20,2,136
24,1,149
31,2,143
65,0,205
53,0,178
68,1,207
64,2,177
46,2,156
45,1,169
66,1,203
75,2,207
82,0,222
67,1,202
80,3,182
45,2,154
55,1,175
20,3,131
27,3,135
71,1,202
66,2,189
75,2,210
33,1,152
47,1,160
21,1,147
45,2,162
33,1,161
78,3,193
75,2,191
26,0,156
22,2,132
42,1,166
37,2,163
57,2,166
34,1,157
83,2,201
47,1,150
58,0,192
76,1,207
36,1,162
63,4,165
44,1,155
36,1,150
32,2,155
44,0,168
29,4,137
37,2,159
53,3,160
27,1,140
59,1,194
61,1,186
60,3,159
25,0,156
71,1,204
45,4,153
83,2,211
78,1,205
75,0,224
78,4,196
52,0,187
72,2,194
41,3,137
40,1,157
23,2,139
81,0,217
81,1,202
43,3,178
74,3,177
28,2,157
22,2,129
50,1,174
59,0,188
55,0,195
43,1,154
25,1,129
85,1,231
23,1,134
25,1,149
70,2,183
81,3,203
76,1,220
85,4,190
27,3,114
45,1,182
70,3,191
64,2,180
63,2,181
24,1,133
45,2,172
38,1,155
39,2,141
31,2,144
66,2,180
20,2,121
33,2,142
83,0,224
57,1,172
56,3,177
30,1,155
22,0,145
52,1,170
25,1,143
69,4,181
29,2,146
24,4,126
42,2,153
29,2,117
63,1,201
21,2,129
32,0,165
59,3,183
21,3,142
84,1,212
82,4,192
36,3,152
28,2,132
34,0,158
43,2,153
57,2,175
54,1,178
68,0,200
81,3,190
79,0,225
69,2,201
28,4,135
53,3,158
54,1,186
20,3,123
59,0,189
83,0,230
41,2,150
79,1,208
83,1,205
30,2,138
33,1,155
79,1,223
49,2,162
54,3,155
56,2,186
24,1,138
45,1,154
81,1,214
23,0,146
61,3,191
37,1,162
59,1,185
58,2,169
33,2,148
51,2,179
70,1,202
57,1,176
42,1,169
82,1,214
34,2,150
44,3,148
36,2,146
85,3,199
72,1,210
70,2,189
58,1,181
70,2,184
25,2,139
26,1,147
70,1,196
61,4,159
83,1,231
34,0,147
48,1,176
52,3,171
46,2,134
55,2,179
48,1,170
57,2,177
76,1,204
46,3,162
74,2,199
52,1,178
85,0,219
29,0,171
24,1,142
57,1,202
32,2,159
50,2,152
66,1,189
71,0,200
75,0,213
34,3,140
48,1,174
27,2,146
24,3,138
48,2,172
66,3,174
64,1,186
21,4,114
46,0,181
55,0,187
55,2,162
45,4,150
62,3,170
46,0,174
39,1,160
30,4,124
57,1,180
25,3,117
42,3,148
66,2,192
65,1,195
31,2,150
32,1,146
81,3,187
79,2,201
62,3,169
24,0,146
56,4,160
50,1,170
28,0,145
70,0,203
48,2,167
59,2,183
60,3,176
30,0,161
42,0,171
20,2,132
65,1,193
40,2,155
55,4,149
73,4,180
76,4,186
20,3,124
82,1,204
73,1,204
74,2,185
59,3,171
34,0,157
40,1,176
66,0,203
72,2,200
28,3,148
71,3,178
76,1,210
45,4,135
60,2,182
54,0,202
82,1,209
44,1,160
57,0,191
21,4,131
26,2,143
53,3,155
36,1,169
62,0,184
78,2,219
70,0,214
73,2,209
43,3,137
44,2,160
71,2,192
52,1,169
68,0,195
48,0,184
82,2,211
41,0,182
45,1,164
47,2,162
68,1,186
68,1,209
39,1,161
82,3,204
80,2,210
68,2,201
20,0,138
32,4,134
70,2,191
75,1,223
81,3,191
51,1,185
49,2,168
48,2,166
68,1,197
64,4,179
49,2,167
35,2,136
59,1,196
38,0,176
37,1,163
20,3,112
66,1,187
85,2,195
57,2,179
70,0,197
